panel	assay_target_label	gene_symbol	uniprot_accession	reported_clone	standardized_estimand_id	davis_structure_component	eligibility_status
KIRHub2026	RON/MST1R	MST1R	Q04912	aa 983-1400	UniProt:Q04912:1082-1345|KLIFS:447:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	ROS/ROS1	ROS1	P08922	cytoplasmic	UniProt:P08922:1945-2222|KLIFS:458:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	RSK1	RPS6KA1 	Q15418	full length	UniProt:Q15418:62-321|KLIFS:54:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	RSK2	RPS6KA3 	P51812	full length	UniProt:P51812:68-327|KLIFS:55:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	RSK3	RPS6KA2 	Q15349	full length	UniProt:Q15349:59-318|KLIFS:53:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	RSK4	RPS6KA6 	Q9UK32	full-length	UniProt:Q9UK32:73-330|KLIFS:56:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	SBK1	SBK1	Q52WX2	full-length	UniProt:Q52WX2:53-318|KLIFS:292:positions1-85	PTC006	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	SGK1	SGK1	O00141	Catalytic (60-431)			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	SGK2	SGK2	Q9HBY8	full length (Met1-Cys367)			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	SGK3/SGKL	SGK3	Q96BR1	Catalytic (87-496)	UniProt:Q96BR1:162-419|KLIFS:66:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	SIK1	SIK1	P57059	Catalytic (1-303)	UniProt:P57059:27-278|KLIFS:135:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	SIK2	SIK2	Q9H0K1	full length	UniProt:Q9H0K1:20-271|KLIFS:133:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	SIK3	SIK3	Q9Y2K2	Catalytic (1-307)			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	SLK/STK2	SLK	Q9H2G2	full length	UniProt:Q9H2G2:34-292|KLIFS:374:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	SNARK/NUAK2	NUAK2	Q9H093	full length	UniProt:Q9H093:53-303|KLIFS:131:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	SNRK	SNRK	Q9NRH2	full-length	UniProt:Q9NRH2:16-269|KLIFS:136:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	SRMS	SRMS	Q9H3Y6	aa 215-end	UniProt:Q9H3Y6:230-488|KLIFS:469:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	SRPK1	SRPK1	Q96SB4	full length	UniProt:Q96SB4:80-653|KLIFS:256:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	SRPK2	SRPK2	P78362	full length	UniProt:P78362:81-684|KLIFS:257:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	SSTK/TSSK6	TSSK6	Q9BXA6	Full length (aa1-273)			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	STK16	STK16	O75716	full length	UniProt:O75716:20-293|KLIFS:280:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	STK21/CIT	CIT	O14578	aa 1-449	UniProt:O14578:97-360|KLIFS:4:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	STK22D/TSSK1	TSSK1B 	Q9BXA7	full length	UniProt:Q9BXA7:12-272|KLIFS:181:positions1-85	PTC009	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	STK25/YSK1	STK25	O00506	full length	UniProt:O00506:20-270|KLIFS:381:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	STK32A/YANK1	STK32A	Q8WU08	full length	UniProt:Q8WU08:23-281|KLIFS:68:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	STK32B/YANK2	STK32B	Q9NY57	full-length	UniProt:Q9NY57:23-283|KLIFS:67:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	STK32C/YANK3	STK32C	Q86UX6	Catalytic (aa66-end)	UniProt:Q86UX6:93-353|KLIFS:69:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	STK33	STK33	Q9BYT3	full length	UniProt:Q9BYT3:116-381|KLIFS:137:positions1-85	PTC010	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	STK35/CLIK1	STK35	Q8TDR2	full length	UniProt:Q8TDR2:202-530|KLIFS:298:positions1-85	PTC008	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	STK38/NDR1	STK38-MOBKL1A	Q15208/Q7L9L4	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	STK38L/NDR2	STK38L-MOBKL1A	Q9Y2H1/Q7L9L4	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	STK39/STLK3	STK39	Q9UEW8	full length	UniProt:Q9UEW8:63-337|KLIFS:354:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	SYK	SYK	P43405	full-length	UniProt:P43405:371-631|KLIFS:470:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	TAK1	MAP3K7/MAP3K7IP1	MAP3K7:O43318; TAB1:Q15750	full-length MAP3K7; aa 437-504 MAP3K7IPI 			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	TAOK1	TAOK1	Q7L7X3	aa1-314	UniProt:Q7L7X3:28-281|KLIFS:379:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	TAOK2	TAOK2	Q9UL54	full catalytic	UniProt:Q9UL54:28-281|KLIFS:377:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	TAOK3/JIK	TAOK3	Q9H2K8	full-length	UniProt:Q9H2K8:24-277|KLIFS:378:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	TBK1	TBK1	Q9UHD2	full-length	UniProt:Q9UHD2:9-310|KLIFS:272:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	TEC	TEC	P42680	full length	UniProt:P42680:370-623|KLIFS:475:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	TESK1	TESK1	Q15569	full-length	UniProt:Q15569:57-314|KLIFS:492:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	TESK2	TESK2	Q96S53	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	TGFBR2	TGFBR2	P37173	190-end	UniProt:P37173:244-544|KLIFS:527:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	TIE2/TEK	TEK	Q02763	Cytoplasmic (817-1101)	UniProt:Q02763:824-1096|KLIFS:477:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	TLK1	TLK1	Q9UKI8	full-length	UniProt:Q9UKI8:456-734|KLIFS:323:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	TLK2	TLK2	Q86UE8	Catalytic (388-end)	UniProt:Q86UE8:462-741|KLIFS:324:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	TNIK	TNIK	Q9UKE5	Catalytic (1-367)	UniProt:Q9UKE5:25-289|KLIFS:360:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	TNK1	TNK1	Q13470	aa1-510	UniProt:Q13470:116-377|KLIFS:395:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	TRKA	NTRK1	P04629	Cytoplasmic (441-796)	UniProt:P04629:510-781|KLIFS:480:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	TRKB	NTRK2	Q16620	Cytoplasmic (455-end)	UniProt:Q16620:538-807|KLIFS:481:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	TRKC	NTRK3	Q16288	catalytic domain (aa 510-825)	UniProt:Q16288:538-839|KLIFS:482:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	TSSK2	TSSK2	Q96PF2	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	TSSK3/STK22C	TSSK3	Q96PN8	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	TSSK4	TSSK4	Q6SA08	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	TTBK1  	TTBK1 	Q5TCY1	Catalytic domain (aa1-479)			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	TTBK2	TTBK2	Q6IQ55	Catalytic domain (aa1-331)			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	TXK	TXK	P42681	full length	UniProt:P42681:271-527|KLIFS:476:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	TYK1/LTK	LTK	P29376	Cytoplasmic (450-864)	UniProt:P29376:510-786|KLIFS:397:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	TYK2	TYK2	P29597	aa 833-1187	UniProt:P29597:897-1176|KLIFS:441:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	TYRO3/SKY	TYRO3	Q06418	Cytoplasmic (451-890)	UniProt:Q06418:518-790|KLIFS:399:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	ULK1	ULK1	O75385	aa 1-649	UniProt:O75385:16-278|KLIFS:328:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	ULK2	ULK2	Q8IYT8	aa 1-631	UniProt:Q8IYT8:9-271|KLIFS:329:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	ULK3	ULK3	Q6PHR2	full-length	UniProt:Q6PHR2:14-270|KLIFS:330:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	VRK1	VRK1	Q99986	full length, Met1-Lys396			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	VRK2	VRK2	Q86Y07	aa 1-375	UniProt:Q86Y07:29-319|KLIFS:194:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	WNK1	WNK1	Q9H4A3	Catalytic (181-507)			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	WNK2	WNK2	Q9Y3S1	Catalytic (166-489)			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	WNK3	WNK3	Q9BYP7	Catalytic (1-434)			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	YES/YES1	YES1	P07947	full length	UniProt:P07947:277-530|KLIFS:463:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	YSK4/MAP3K19	MAP3K19	Q56UN5	aa 941-1328 (end)			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	ZAK/MLTK	ZAK	Q9NYL2	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	ZAP70	ZAP70	P43403	full length	UniProt:P43403:338-600|KLIFS:471:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	ZIPK/DAPK3	DAPK3	O43293	full-length	UniProt:O43293:13-275|KLIFS:141:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	CDK11B/cyclin K	CDK11B/CCNK	CDK11B: P21127; cyclin K: O75909	aa M357-F795, M1-S300			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	ERK5/MAPK7 (CD)	MAPK7	Q13164	Catalytic (aa1-398)	UniProt:Q13164:55-347|KLIFS:243:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	IRAK2	IRAK2	O43187	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	JAK2 JH1&2	JAK2	O60674	aa 532-1132	UniProt:O60674:849-1124|KLIFS:436:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	NEK8	NEK8	Q86SG6	aa 1-322			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	RIPK3	RIPK3	Q9Y572	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	TTK	TTK	P33981	full-length	UniProt:P33981:525-791|KLIFS:326:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	TYK2 JH1&2	TYK2	P29597	aa556-1187(end)	UniProt:P29597:897-1176|KLIFS:441:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	WEE1	WEE1	P30291	full-length	UniProt:P30291:299-569|KLIFS:333:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	DLK/MAP3K12	MAP3K12	Q12852	Catalytic (aa 1-520)	UniProt:Q12852:125-366|KLIFS:498:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	NIK/MAP3K14	MAP3K14	Q99558	full-length (1-947)			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	PEAK1	PEAK1	Q9H792	aa 1127-end			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	PKMYT1	PKMYT1	Q99640	full length	UniProt:Q99640:110-359|KLIFS:334:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	BMPR2	BMPR2	Q13873	Catalytic (aa174-end)	UniProt:Q13873:203-504|KLIFS:526:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
